id,subject,text
6,leite azeda muito rápido,"Meu tio Paulo mora em uma chácara, tem umas 6 vacas de leiteiras. No mês de
dezembro começou a azedar o leite muito rápido. Este leite que ele mesmo
oredenha manualmente, é vendido a uma cooperativa, ou faz queijo fresco. Mas
como o leite está azedando, ainda no latão, ele está descartando. Quando
não azeda no latão, ele faz o queijo, mas o queijo incha rapidamente, e
fica impróprio para consumo.
Sou técnica em alimentos, mas não atuo na área há mais de 8 anos, por
isso preciso de sua ajuda. O que devemos fazer? O que primeiro devemos
investigar para descobrir o que está acontecendo? Como saber qual o momento
certo de usar o leite de uma vaca no pós-parto?
Por favor, preciso de sua ajuda urgente, pois a família vive da venda do
leite e do queijo."
9,Orientaçao Tecnica.,"Sou propriedade Rural cidade Maraba.Pa.,tendo o mesmo tipo climatico Rondonia. desejo projeto tecnico p/produzir leite de 150 vacas leiteiras: Raças, Tipo pastagem, tamanho dos piques e alimentação suplementar."
11,MASTITE SUBCLÍNICA,"TENHO EM MEU PLANTEL UM ÚNICO ANIMAL QUE APRESENTA SINTOMAS DE MASTITE SUBCLINICA. COLETEI AMOSTRAS DO LEITE E ENVIEI AO LABORATÓRIO, E O RESULTADO FOI ""NÃO HOUVE CRESCIMENTO DE MICRO-ORGANISMOS PATOGÊNICOS"". NO ENTANTO AO SE FAZER TESTE COM ALIZAROL O LEITE FICA ADULTERADO. COMO ISTO ACONTECE E O QUE DEVO FAZER?"
53,mais leite,"Sou produtor rural e gostaria de melhorar meu sistema de produção
leiteiro.Quais os programas posso utilizar para produzir mais leite e ter
menos gastos com o rebanho?"
55,GADO HOLANDES,"tenho uma propriedade rural em mg estou iniciando a criaçao de gado de leite ja està em fase final a a construçao dos piquetes, foi me passado pelo embrapa um projeto de pasto rotativo e irrigado onde pode-se adotar uma medida de 80 m² por vaca por dia com o capim Tanzânia. Depois, faz-se ajustes nos piquetes conforme a necessidade.no meu caso estou formando os piquetes com capim TIFTON nesse caso seria a mesma medida de 80 M² por animal? e tambem ja estou negociando os animais mas como nao tenho muita experiencia estou na duvida entre  3/4 Holandes e PO Holandes qual raça seria a mais indicada para inicio da minha criaçao?"
80,gado de leite,"boa tarde . gostaria de saber ,qual a area(alqueres) de pasto nescessarios para cuidar de 15 vacas holandesas para leite (em media 15 litros dia). fora a ração ."
91,Rotacionado,"Prezados Senhores,

Gostaria de implantar pastejo rotacionado em minha propriedade para produção
de leite.Os piquetes deverão ser irrigados.
Tenho uma área de 1,1 ha plantado com tifton 85 e outra de 1,5 ha plantado
com braquiarão.
Para o manejo correto destas áreas gostaria de saber qual o número ideal de
piquetes para cada uma delas, respeitando o periódo de descanso das
gramineas citadas, bem como outras informações que VS julgarem úteis.."
93,pré-secado de alfafa,Gostaria de saber se existe alguma dieta utilizando pré-secado de alfafa + cana com ureia e se presciso devo colocar concentrado em que proporção?
154,Intervalo ordenha,"Estou iniciando retirada de leite com ordenha e tenho duvida quanto ao intervalo entre uma ordenha e a próxima, ja ouvi falar que a vaca produz leite num intervalo de 12 em 12 horas, ou seja, se for tirar leite duas vezes por dia deveria ser a primeira as 6:00hr da manha e a segunda, no caso de duas tiradas por dia, as 18:00hr, se for tres vezes a cada 6 horas (6:00hr, 12:00hr, 18:00hr) , se for quatro tiradas, então a tirada seria a quada 3 horas (6:00hr, 9:00hr, 12hr, 15:00hr e 18:00hr).
Esta correto?"
156,Construções,"O Lava pés e o Pedelúvio são sempre depois da sala de ordenha? Eles
não podem ser feitos entre a sala de espera e a sala de ordenha. Na sala de
espera eu posso colocar um bebedouro?

Veja o croqui que eu fiz com base no seu, conto com as suas críticas e
sugestões.

Muito obrigado!"
169,vacas de alta produçao,"Sou produtor de leite em São Domingos do Prata, MG, e gostaria de saber sobre a viabilidade de fornecer volumoso à base de cana mais uréia para vacas de produção acima de 25 kg/leite/dia, ao invés de silagem de milho ou sorgo. Essa dúvida se dá porque a minha propriedade é montanhosa, com pequena área mecanizável(3 ha) disponivel para plantio de milho ou sorgo para silagem, e pretendo construir ainda neste ano um free stall para 15 ou 20 vacas."
196,sobre doença de gado,"Por gentileza preciso de uma ajuda referente a uma doença que esta
aumentando na fazenda onde trabalho. As bezerras estao ficando com os olhos
esbranquiçados e a córnea avermelhada, já utilizei alguns remédios e nao
tive sucesso. Há alguma explicaçao para isso, pois, está aumentando muito
rápido entre o gado e estou com medo de ser transmissivel a humanos há
alguma chance?"
197,Formula de suplementos para vacas em lactação,"Boa tarde, gostaria de saber, se voceis poderiam me passar algumas (formulas) para vacas em lactação, onde eu mesmo pudesse fazer, para baratear o preço.

Sou pequeno produtor, o ano todo eu trato das vacas com cana, e na seca ajudo com silo de milho. Hoje eu bato uma ração sem nem uma base, faço a olho, tenho,farelo de soja e farelo de amendoim, milho e tambem sal mineral.

Gostaria de saber para cada 100kl de ração preparada quanto usar de cada ingrediente?

Vacas são media de 8 litros uma pela outra.

Será que voceis poderiam me ajudar?

Desde já agradeço, e espero respostas."
201,Silo cana de açúcar,"Temos uma sobra de canavial.
Solicitamos uma orientação de como fazer o silo de
cana.
Usar Aditivos? Quais?
Usar cal hidrolisado ao fazer as camadas do silo?
Usar ureia? como?
Tamanho do silo, áéreo ou trincheira ( esta nós temos)."
209,Capim elefante pioneiro,"Venho através deste email solicitar informações sobre o ""Capim elefante Pioneiro"" no qual andei lendo algumas notícias e notei ser um bom investimento para os criadores daqui da região em termos de melhoramento nutricional, gostaria de saber se esta nova variedade de capim se adaptaria a esta região e como eu posso adquirir amostras gratuitas para fazermos testes com elas aqui em nosso solo. Sabendo que há uma carência de um bom pasto para os animais daqui, tentamos melhorar cada vez mais a alimentação dos nossos rebanhos que no momento o foco é o gado de leite. Acredito nesta variedade de capim elefante visando a melhoria nutricional dos animais."
210,Projeto de um curral para ordenha,"Tenho uma propriedade em Rio Casca MG e pretendo ser produtor de leite.
Favor enviar-me projeto de um curral típico para ordenha de 30 vacas.
Preciso também de detalhes construtivos de um tronco para vacinar 4 vacas
por vez.
Para o tronco, preciso das dimensões de comprimento, largura inferior,
largura superior, inclinação das laterais e distribuição das réguas com
os devidos espassamentos na parte inferior, intermediária e superior.
Certo de contar com o pronto atendimento dessa competente empresa,"
216,Mini projeto para pasteurização e empacotamento do leite- 330lt/dia,"Estou querendo processar o leite,pasteurizar e empacotar, 300lt/dia,
necessito de um mini projeto, mais simples, que atenda as necessidades
básicas da vigilância sanitária.
Estou localizado a 30 Km de Goiânia-GO."
219,Feno de Brachiaria Decumbens,"Caro Atendente, Trabalho com pecuaria de leite, em minha propriedade estou perdendo pastagem com brachiaria decumbens o gado não esta vencendo come-la. Minha pergunta é a seguinte, posso fazer feno desta brachiaria e dar para bezerras e novilhas no periodo da seca? Como é feito esta fenação, ex: altura do corte e dessecação? Quais os indices de PB e NDT deste feno? Ouvir falar da introdução de ureia neste procedimento para melhorar a qualidade nutricional é verdade? Procurei a Embrapa Gado de Leite devido a seriedade e competencia em suas pesquisas além do mais quero agradecer desde já sua atenção e respostas."
221,FORMULAÇÃO DE RAÇÕES,"OLÁ, ESTOU INICIANDO UMA PEQUENA CRIAÇÃO DE VACAS PARA LEITE E GOSARIA DE SABER ALGUMAS FOMULAÇÕES DE RAÇÃO E AS QUANTIDADES QUE DEVO FORNECER AOS ANIMAIS. OS INGREDIENTES MAIS FACILMENTE ENCONTRADOS NA REGIÃO SÃO MILHO, RESÍDUO DE ALGODÃO, FARELO DE TRIGO E SOJA. A FAZENDA É SITUADA NO INTERIOR DO CEARÁ E TENHO UM PLANTIO DE CAPIM ELEFANTE NA FAZENDA. DESDE JÁ AGRADEÇO A ATENÇÃO."
277,Dúvida pré- secado,"as minhas vacas sao todas de potencial genetico, produção media de 20l, soa todas registradas e livro fechado.
gostaria de saber se a canac/ureia+ pre secado de alfafa é uma boa combinação e se gera resultados????"
283,Receita de queijo,"Gostaria de saber a receira de queijo de coalho, e do queijo de cabacinha."
287,Como ter uma pastagem boa.,"Tenho 15 Halqueiras de terra no E. Santo, mas todo ano passo o maior sufoco para alimentar o gado tenho que alugar até pasto, quero reverter esta situação voces pode me orientar ou indicar alguem para esta situação."
291,"Laticinio, venda de leite","Gostaria de saber qual Ã© o grau de confiabilidade do teste de pH realizado no leite com o componente alcoolico ""Alizarol""? Se este nÃ£o for o mais recomendado qual Ã© o tipo de teste que pode ser feito nas fazendas quando o caminhÃ£o coletor do laticinio vai recolher a produÃ§Ã£o leiteira?"
293,dúvida,"Gostaria de saber imformações sobre capim especifico pra pastagem de gado de leite e que se adapta no clima do nordeste,será a braquiaria se dá bem no clima de lá?por favor me tire essa dúvida."
306,criação e vacas leiteiras,"estou com problemas e aciedez no leite teste lizarol ,tenho bastante cuidado com a igienização e com o rebanho .o teste apresenta lagunas pequenos coagulos , ja colhi ate direto das tetas e apresentou coagulos. foço todas as vacinas ,aftosa, brucelose ,clostidiose ,raiva.nao sei se esta relacionada a pastagens, agora na epoca das chuvas não comlemento com ração. o capim prodominante eo corrente e o bufel em menor escala .gostaria de ter alguma orintaçaõ da embrapa .tenho certeza qu! e serei atendido ."
307,verruga em bovino,tenho em minha propriedde 5 animais com bastante verruga (papilomas) e no site desta EMBRAPA encontrei o remedio que e chamada de     PAPILOMAX. cONSULTEI A EMBRAPA/SERGIPE E ELES DERAM A ORIENTAÇÃO PARA FALAR COM JUIZ DE FORA.
329,informaçoes leite,"Embrapa Gado de Leite, 
Municipio de S. Gonçalo do Amarante - Ceara
 
quero saber qual tipo de gado de leite se adapta melhor, se e possivel ter alta produtividade. com alta teclologia a fazenda tem muita agua.
nessa regiaoe possivel trabalhar com holandes ou jersey"
