id,text
6,"A acidez do leite é provocada pelo excesso de bactérias no leite. Assim, a primeira medida a se tomar é rever todos os procedimentos de ordenha e de higiene. 

	Entretanto, seria interessante saber quais os testes que foram feitos para saber se o leite estava realmente ácido. O ideal é pedir para fazer teste da acidez titulável, em que o leite está normal se o resultado der de 14 até 18 graus Dornic. Também há um teste simples, bastando ferver o leite, pois leite ácido, coagula quando aquecido. E se for teste do alisarol, peça para fazer conforme consta da instrução normativa 51 do MAPA."
9,"Sobre a raça, o melhor aí no Norte é usar gado mestiço de Europeu x Zebu, especialmente o meio-sangue Holandês x Zebu, pois são animais mais rústicos e produtivos."
11,"Fazer o teste de alizadol da forma correta: usar leite do conjunto de vacas, 2 horas após a ordenha, com teor de álcool de 72% e volume a volume.

	Se estiver fazendo teste do alizarol na hora da ordenha e/ou de vacas indiduais, está errado.
	Para saber se o leite está realmente ácido, deve-se fazer o teste da acidez titulável, em que o leite está normal se o resultado der entre 14 e 18 graus Dornic. Outro teste simples é ferver o leite, pois leite ácido coagula quando aquecido.

	Caso a empresa esteja fazendo o teste de forma errada, peça para fazer como consta na instrução normativa (IN51) do MAPA. Consulte o endereço: www.agricultura.gov.br e acesse o item Legislação."
53,"A sua pergunta é de difícil resposta, pois não conhecemos o seu sistema de produção, e nem dispomos de dados da sua propriedade. E também não há uma receita única, geral.
   Por outro lado, a maneira mais simples,  fácil e  segura de melhorar a atividade rural, de aumentar a produtividade, aumentar a produção total, aumentar a renda e o lucro, seja ela qual atividade for, é via assistência técnica de um profissional do setor.  Um profissional da área certamente poderá indicar as melhores alternativas de tecnologia para a sua fazenda, conforme as condições locais. 
    Desse modo, se deseja realmente melhorar a sua produção de leite sugerimos que procure ajuda de um técnico do setor aí na sua cidade ou região. O mais prático é procurar ajuda no órgão estadual de extensão rural aí em sua cidade , como a Emater. Mas também poderá recorrer ao técnico da cooperativa, ou do laticínio que compra o leite de sua propriedade, ou mesmo pagar um consultor particular. 
   Mas, sem assistência técnica é muito difícil de melhorar a produtividade e aumentar a renda em qualquer tipo de atividade rural. O lucro por unidade produzida no meio rural vem caindo desde final do século 19. E esse processo de perda da renda agrícola se intensificou muito a partir da implantação do plano real em 1994. Sem produtividade alta, sem custo baixo, sem escala de produção, torna-se difícil permanecer como produtor rural. Aí, só mesmo contando com a assistência técnica de um profissional do setor."
55,"Capim Tifton é muito bom, de fácil manejo, mas exige solo fértil e plano. Pode usar 80 m 2 por vaca por dia. Depois faz-se os ajustes conforme a necessidade.

   A raça pode ser qualqeur uma, desde que se use as tecnologias mais adequadas para cada caso. Se estiver em local mais frio, o Holandês é  boa opção. Porém, gado mestiço é mais rústico. E deveria começar é com gado mestiço meio-sangue Holandês x Gir Leiteiro. E sobre essas fêmeas F1HG deve colocar um touro Holandês PO, obtendo as crias 3/4 HG. Pode continuar com o touro Holandês e ir apurando a raça à medida em que for melhorando os seus conhecimentos, o manejo, a sanidade, o conforto para os animais, etc."
80,"Depende basicamente da taxa de lotação das pastagens, o que por sua vez depende da  produtividade  de matéria seca da pastagem. Assim, pode-se ter 15 vacas apenas 2 hectares ou em  até 30 hecatres.  

    O mais indicado é procurar ajuda na Emater local. Aí o agrônomo da Emater poderá ir até a sua propriedade, fazer um levantamento da situação e depois elaborar um projeto técnico. Essa é a maneira correta de se começar qualquer negócio agrícola ou de pecuária. Ou seja, para começar bem, deve começar procurando pela assistêcnia técnica de um profissional do setor."
91,"Em manejo de pastagens, pastejo rotativo, não há uma receita geral, única, que atenda a todas as situações. É preciso considerar as condições locais de clima, fertilidade do solo, topografia do terreno, manejo, etc. E não conhecemos nada disso, nem o estado onde situa-se a sua propriedade. Aí torna-se difícil ajudá-lo.  E  o mais indicado é contar com a ajuda de um técnico do setor. Nesse caso, procure a assistência técnica do serviço de extensão rural aí de sua cidade ou região, como a Emater ou órgão semelhante. 

   E sobre irrigação de pasto é imperioso elaborar um projeto técnico. Irrigação de pastagens não é a salvação da lavoura como se propaga por aí."
93,"Volumoso, qualquer que seja ele, deve ser sempre fornecido à vontade. No caso de se usar silagem e feno, é preciso apenas tomar cuidado para não faltar volumoso no cocho e nem sobrar muito. Assim, se estiver sobrando no cocho entre 3 e 5% do volumoso fornecido está bom. Se estiver sobrando muito, acima de 5% do que foi colocado no cocho, deve-se diminuir aos poucos até ajustar a quantidade.

   A ração concentrada deve ser fornecidsa confome a produção de leite de cada lote de vacas e tendo em vista a qualidade do volumoso fornecido. Isso indica que não há uma receita, mas que é preciso dispor de assistência técnica de um profissional do setor para ir ajustando a dieta conforme as necessidades e o custo dos alimentos ( ingredientes) que compõem a ração concentrada. 
   Geralmente, deve-se fornecer um quilo de concentrado para cada 2,5 litros de leite, considerando um teto de produção que é sustentado pelo volumoso. Assim, uma boa silagem sustenta uma produção de leite entre 8 a 10 litros por dia. A partir desse valor, deve-se fornecer um kg de ração concentrada para cada 2,5 litros de leite produzidos.

   Se usar apenas pré-secado de alfafa como volumoso, deve sustentar uma produção de 12 litros por vaca dia. A partir desse valor, deve-se fornecer  1 kg de ração concentrada para cada 2,5 litros de leite produzidos."
154,"O número de ordenhas depende muito da produção de leite do rebanho e da qualidade genética do mesmo. E depende também do preço da mão de obra.

    Sugerimos procurar a ajuda de  um técnico do serviço estadual de extensão rural (tipo Emater) aí em sua cidade ou região. Conhecendo bem a região o técnico local saberá orientá-lo corretamente."
156,"O lava-pés tem a função de diminuir a sujeira (matéia orgânica) nos cascos dos animais, aumentando a vida útil da solução do pedilúvio. E o melhor é colocar ambos após a sala de ordenha, na saída das vacas. 

   No Curral de espera pode-se colocar um bebedouro, sem problemas. 
   E a saída das vacas da sala de ordenha deve ser em linha reta, sem fazer canto de 90 graus. Vacas pesadas, lentas, param nos cantos e  dá trabalho para toca-las do local, atrasando a ordenha."
